         16423056 function calls (16281310 primitive calls) in 10.378 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       17    0.000    0.000    0.000    0.000 generic.py:37(create_pandas_abc_type)
        1    0.000    0.000    0.000    0.000 generic.py:228(NDFrame)
      155    0.000    0.000    0.023    0.000 _compiler.py:576(_code)
      462    0.000    0.000    0.000    0.000 enum.py:1590(_get_value)
        6    0.000    0.000    0.000    0.000 abc.py:41(_register)
     1303    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
      149    0.000    0.000    0.000    0.000 <frozen _collections_abc>:473(__new__)
     3755    0.000    0.000    0.000    0.000 gene.py:9(length_nt)
      484    0.000    0.000    0.000    0.000 enum.py:37(_is_descriptor)
     1330    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
      776    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(__init__)
     1858    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
      967    0.000    0.000    0.000    0.000 inspect.py:3103(<genexpr>)
     1038    0.000    0.000    0.000    0.000 _docscrape.py:403(<genexpr>)
     1615    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:158(__init__)
      234    0.000    0.000    0.004    0.000 <frozen abc>:105(__new__)
        5    0.000    0.000    0.000    0.000 Scanner.py:1243(_feed_first_line)
      312    0.000    0.000    0.000    0.000 enum.py:765(__delattr__)
        1    0.000    0.000    0.057    0.057 crackfortran.py:1(<module>)
  179/147    0.000    0.000    0.000    0.000 _compiler.py:439(_get_literal_prefix)
       86    0.000    0.000    0.005    0.000 auxfuncs.py:627(l_and)
     1961    0.000    0.000    0.000    0.000 typing.py:840(<genexpr>)
       28    0.000    0.000    0.002    0.000 _decorators.py:297(decorate)
    445/1    0.000    0.000    0.000    0.000 __config__.py:14(_cleanup)
     1239    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
